ref_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
35,876.099,-3.33,0.95126,0.62398,2.077166553,1.4,12105,0.07014,0.28058,0.56115,0,0.65653,8.21875,5200
79,43622.7,-1.5174,0.9929,0.50249,2.407314206,1.44,9097.88,10.9091,3.63636,44.5455,0,0,7.57737,16500
77,43280,-1.5174,0.98383,0.50249,2.551751381,1.44,9236.39,14.54545,2.72727,43.6364,0,0,7.57737,15000
76,29159,-1.5174,1.01723,0.50249,2.726159312,1.44,9097.88,12,2.5,50.5,1,0.06002,7.57737,9700
85,20236.9,-1.5174,0.96643,0.50249,2.863184196,1.44,9400.55,13.07189,6.20915,23.8562,0,0,7.57737,10000
86,29360.3,-1.5174,1.01398,0.50249,2.649750912,1.44,9545.01,17.39133,7.06522,23.913,0,0,7.57737,7000
87,17070.2,-1.5174,0.99904,0.50249,2.746551164,1.44,9461.62,8.43672,2.23325,15.1365,0,0,7.57737,10000
96,24591,-1.5174,1.01884,0.50249,2.758938699,1.44,9145.63,11.11111,4.8048,38.7387,0,0.03664,7.57737,6000
61,14466.1,-0.564,1.03144,0.46613,3.175482268,2.13793,10380.1,19.07408,0.37037,28.7037,0,11.0911,7.52821,15000
53,31883.8,-1.354,1.00476,0.46613,2.865470167,2.13793,9168,29.375,1.875,31.25,0,9.13867,7.52821,14000
49,36630,-2.234,0.97924,0.46613,2.906058851,2.13793,11804.4,22.6666,4,38.6667,0,8.88525,7.52821,9000
38,31626.1,-2.104,0.97738,0.46613,2.668621478,2.13793,11675.8,27.7778,2.77778,24.4444,0,5.41571,7.52821,8400
40,32786.5,-2.054,1,0.46613,2.773721702,2.13793,11254.3,17.69231,1.92308,23.4615,0,6.56343,7.52821,9200
54,35664.7,-1.624,1.02306,0.46613,2.888601813,2.13793,11926.9,17.33333,2,26.6667,0,9.65662,7.52821,10000
63,43097.5,-1.084,0.98714,0.46613,2.890664824,2.13793,11207.5,25.83333,0.83333,35.8333,0,7.9993,7.52821,10000
71,30577.8,-2.084,0.96272,0.46613,2.880784595,2.13793,13159.8,24.375,1.48148,37.4074,0,8.69186,7.52821,12000
39,25936.2,-1.514,0.98799,0.46613,2.923877851,2.13793,13082.9,14.76191,3.33333,31.4286,0,8.22899,7.52821,9300
29,20697.2,-0.584,1.01991,0.46613,3.266397323,2.13793,12265,16.4,2,24.8,0,7.44835,7.52821,7500
67,12449.8,1.36,1.08769,0.61513,3.399996177,1.62632,14276.7,5.5,0.7,9.5,0,9.11765,9.92,6700
69,13199.1,1.36,1.08769,0.61513,3.399989696,1.62632,15060.8,5.625,0.625,11.75,1,9.11765,9.92,7200
46,13286.7,1.36,1.08769,0.61513,3.400011259,1.62632,14925.1,11.38889,0.97222,17.3611,1,9.11765,9.92,8000
44,3800.3,1.36,1.08769,0.61513,3.399985685,1.62632,14668,2.35,0.5,4.2,0,9.11765,9.92,5400
26,8336.86,1.36,1.08769,0.61513,3.399996737,1.62632,15340.2,7.79661,0.84746,18.3898,0,9.11765,9.92,7800
34,15962,1.36,1.08769,0.61513,3.40000426,1.62632,14320.6,13.60656,3.11475,17.7049,0,9.11765,9.92,6600
23,16786.8,1.36,1.08769,0.61513,3.399995949,1.62632,13631.2,5.97222,1.11111,9.16667,0,9.11765,9.92,6800
5,9744.08,1.36,1.08769,0.61513,3.399995115,1.62632,11917.8,3.28948,0.23923,4.00718,1,9.11765,9.92,5400
18,16626.3,1.36,1.08769,0.61513,3.39999182,1.62632,14211.2,7.48503,0.5988,14.0719,0,9.11765,9.92,6100
22,5195.44,1.36,1.08769,0.61513,3.400001309,1.62632,18545.1,2.19781,0.76923,5.6044,0,9.11765,9.92,6000
8,2420.98,1.36,1.08769,0.61513,3.399994944,1.62632,16678.3,0.43222,0.31434,1.53242,0,9.11765,9.92,4300
2,2721.32,1.36,1.08769,0.61513,3.400001,1.62632,15141.9,0.56604,0.60377,2.41509,0,9.11765,9.92,4000
64,20771.2,1.36,1.08769,0.61513,3.400003601,1.62632,16233.3,7.05883,2.35294,27.0588,0,9.11765,9.92,4800
11,13193.2,1.36,1.08769,0.61513,3.400002577,1.62632,11894.2,2.65152,0.75758,3.40909,0,9.11765,9.92,5600
13,12960.9,1.36,1.08769,0.61513,3.400008395,1.62632,10883.9,3.91305,0,4.34783,0,9.11765,9.92,4800
25,15954.8,1.36,1.08769,0.61513,3.399998721,1.62632,18286,7.6,1.2,27.2,0,9.11765,9.92,6500
7,287.344,1.36,1.08769,0.61513,3.400001657,1.62632,17477.1,0.3125,0.375,0.875,0,9.11765,9.92,3000
15,613.613,1.32112,1.32112,0.61513,2.869066545,1.62632,15496.9,0.1941,0.41408,0.63406,0,15.6917,9.92,5400
43,279.094,1.00198,1.00198,0.61513,2.966607673,1.62632,14577.3,0.45317,0.09063,1.41994,0,1.63455,9.92,5600
12,245.856,0.71916,0.71916,0.61513,2.023989265,1.62632,15671.6,0.35825,0.02388,1.28971,0,2.65203,9.92,5800
6,301.128,0.84871,0.84871,0.61513,2.301462833,1.62632,16784.7,0.06633,0,0.68539,0,2.29809,9.92,5700
1,858.365,0.8518,0.8518,0.61513,6.551654391,1.62632,15761.5,0.047,0.42293,0.44643,0,65.5918,9.92,3500
62,3500.92,1.14,1.12432,0.72783,3.20649924,1.34,10872,2.65734,0.83916,3.28671,0,18.7665,15.0996,4400
68,3912.19,2.09,1.13535,0.72783,3.94766769,1.34,10872,1.51898,0.12658,0.37975,0,16.7937,15.0996,4100
59,4391.06,-0.38,1.09334,0.72783,3.41929606,1.34,10872,2.72727,0.06993,0.83916,0,14.9622,15.0996,3500
56,4560.81,0.68,1.06773,0.72783,3.371534811,1.34,10872,1.32743,1.32743,1.68142,0,14.4054,15.0996,3700
24,3556.21,1.02,1.07525,0.72783,3.753255937,1.34,10872,0.85526,0.65789,2.03947,0,18.4747,15.0996,3200
45,3448.68,-0.83,1.02713,0.72783,3.853239301,1.34,10872,1.66415,0.45386,0.90772,0,19.0508,15.0996,2000
