STATION,ADT1,OBJECTID_1
171070,3253,31344
171187,269,31383
171033,4980,31447
171051,4991,31481
171053,5472,31487
171041,676,31639
171085,358,31640
171054,5269,31668
171032,3255,31737
171040,3019,31949
171079,9122,32002
170975,2407,32082
170974,39,32112
171017,5856,32364
171039,2971,32531
171217,617,32582
171078,15435,32764
171169,2462,32830
171030,3469,33009
171038,1155,33147
171184,592,33208
170971,3053,33224
171213,54,33289
171077,8436,33363
171076,8673,33373
171016,4895,33422
171075,73,33440
171071,7307,33468
171037,466,33483
171088,20041,33675
171055,7143,33876
171094,16946,33886
171095,543,33941
171093,22513,33993
171214,1021,34039
171168,1264,34188
171028,2731,34232
171092,16266,34244
171072,14886,34341
171011,3757,34357
171170,945,34381
171060,4587,34463
171014,2804,34603
171090,14401,34661
171104,18101,34806
171091,5481,34817
171209,271,34883
171015,3653,34966
170951,6280,35177
171029,7378,35212
171034,7057,35259
171103,9931,35284
171102,13546,35292
171013,5451,35423
170950,1365,35510
171212,839,35518
170949,4872,35559
171222,977,35668
171073,9029,35793
171157,27617,36076
171012,5155,36100
171010,6114,36108
171031,1393,36368
171158,7267,36423
171059,5070,36435
171074,6856,36566
171211,870,36652
171100,1094,36760
171218,1491,36853
170977,11009,37390
171210,728,37404
170976,9350,37708
171208,1075,37746
171204,549,37955
170989,2616,38022
171205,192,38070
171097,4253,38129
170970,2497,38362
170972,1199,38735
171203,2085,39087
171207,144,39335
170947,5482,39439
170994,174,39605
171004,3241,39650
170990,3583,39699
171228,100,39828
171206,202,39844
171219,1236,39949
171221,892,40051
170870,24893,40121
171229,5344,40231
170987,2475,40323
170988,9075,40362
170964,1672,40641
171227,1630,40731
171226,145,40779
171225,262,40786
171005,65,40883
170969,677,40917
170993,1103,40987
171007,1685,41015
170968,6245,41147
170991,13380,41331
171224,1073,41424
170986,9275,41587
170960,762,41683
170962,476,41695
170959,6337,41721
171009,2457,41789
171220,496,41886
171223,743,41983
170967,18382,42090
170966,27723,42097
170983,433,42221
170985,8405,42276
171006,15750,42320
170995,6291,42355
171152,13663,42431
171151,3160,42433
171002,29670,42480
171008,4232,42483
170997,2390,42804
170984,10921,42813
170869,22145,42889
170981,629,43001
170956,4694,43097
170955,4169,43240
170954,1618,43378
170957,11620,43626
170958,14889,43643
171154,2737,43891
170979,5008,44212
171231,130,44656
170953,10417,44823
170952,5933,44884
170999,5443,45306
171001,113,45411
170980,5460,45810
170938,5184,46394
170923,10818,46549
171155,336,46605
171230,1004,46919
170939,12453,47011
170930,11250,48008
170931,6104,48009
170935,199,48338
171232,397,48342
170927,7176,48480
170933,6658,48667
170928,15670,48690
170867,12554,50295
170921,4952,50507
170925,10443,50516
170919,1280,50919
170866,8320,50946
170924,4824,51840
170943,159,52615
170909,644,54338
170917,413,56044
170915,978,56863
170854,434,60251
170905,1247,60301
171150,1172,60795
170855,698,61281
170856,70,61694
170896,262,62781
170891,417,63284
170895,199,63293
170893,487,63393
170890,188,63440
170889,1312,63524
170888,254,63578
170894,610,63619
170886,1202,63788
170887,422,63795
170892,1191,63875
170885,3142,64528
170884,925,64529
170883,222,64552
170882,588,64601
170860,422,65237
170859,251,65261
170857,93,65985
170858,690,66409
