OBJECTID,GEOID10,employment,MBG_Diamet,trtID,res_worker,Shape_Length,Shape_Area
20,22033000601,315.000000000000000,1866.614688169999900,20,1110.000000000000000,5226.939921968742100,1501328.886108229400000
21,22033000602,1250.000000000000000,2169.045817849999800,21,1570.000000000000000,6632.850510382019800,2260049.503185777000000
22,22033000701,245.000000000000000,2560.202241840000200,22,1005.000000000000000,6350.464402322640100,2118881.497289455500000
23,22033000702,2550.000000000000000,3159.662595899999800,23,1820.000000000000000,7590.707293232202600,2562321.829698937500000
24,22033000900,1715.000000000000000,2223.785546969999800,24,2150.000000000000000,6142.842633130952000,2162200.608656022700000
25,22033001000,760.000000000000000,1982.052456110000100,25,1740.000000000000000,6075.476555937466400,1967576.191016315000000
26,22033001102,6610.000000000000000,3247.010709740000000,26,1620.000000000000000,7667.252271947552800,2818690.436272776700000
27,22033001103,1960.000000000000000,2455.451976960000100,27,1210.000000000000000,6478.389123416001000,2345882.586150220100000
28,22033001104,4480.000000000000000,2741.237157179999900,28,1410.000000000000000,6935.572371180928700,2576000.737556962800000
29,22033001600,2145.000000000000000,2140.324466370000200,29,1470.000000000000000,6529.818978792245600,1901078.304585198900000
30,22033001700,6445.000000000000000,3133.562365889999900,30,4260.000000000000000,9512.259603000564300,3620705.392594979100000
31,22033001800,3365.000000000000000,2685.061913139999900,31,1115.000000000000000,6616.833281642291700,1854580.668168976900000
32,22033001900,3250.000000000000000,3210.095403639999900,32,1575.000000000000000,8850.443022011089900,2996779.438829019700000
33,22033002000,9860.000000000000000,3755.940509279999800,33,4035.000000000000000,9612.652219097537500,5231848.607480865000000
34,22033002200,225.000000000000000,1382.315748960000100,34,535.000000000000000,3904.264625815756100,939374.835967242720000
35,22033002300,1705.000000000000000,2397.400338200000100,35,1070.000000000000000,6646.078060866229900,2056095.444718190500000
36,22033002400,415.000000000000000,2383.187207620000200,36,2185.000000000000000,7349.202936904512200,2393609.096527752000000
37,22033002500,765.000000000000000,1714.502152690000000,37,1430.000000000000000,4740.426797087015100,1358059.096443993500000
38,22033002601,3095.000000000000000,3775.863340120000000,38,2145.000000000000000,10869.443436038966000,3932590.071751962000000
39,22033002602,5720.000000000000000,4425.978171869999600,39,2010.000000000000000,11933.969637471226000,5601348.743458039100000
40,22033002700,2100.000000000000000,2030.240385529999900,40,3270.000000000000000,5918.401485536803200,1615372.958561722000000
41,22033002801,5425.000000000000000,3055.590155870000200,41,1160.000000000000000,8876.502556736682900,3568119.146353405900000
42,22033002802,3790.000000000000000,2636.207752859999800,42,2800.000000000000000,8418.595474948128000,2738775.058567368400000
43,22033003000,7525.000000000000000,12584.848394700000000,43,2090.000000000000000,39702.179789732261000,45097904.149292618000000
44,22033003101,540.000000000000000,3056.377153750000200,44,2085.000000000000000,8880.532710908315500,4099102.820999404900000
45,22033003103,2450.000000000000000,3457.297872229999900,45,610.000000000000000,14464.638113172556000,3415432.617983064100000
46,22033003201,685.000000000000000,4608.598366850000300,46,1750.000000000000000,12477.485850636982000,8799315.937652800200000
47,22033003202,710.000000000000000,9788.819146039999400,47,2095.000000000000000,25233.408134746478000,17484495.489381086000000
48,22033003300,1060.000000000000000,3546.070823449999800,48,2090.000000000000000,9634.247750663256700,4549903.207483454600000
49,22033003400,1760.000000000000000,3105.185068650000200,49,2210.000000000000000,9159.055364082012600,4490835.745248417400000
50,22033003501,285.000000000000000,8662.288916089999500,50,1690.000000000000000,24485.313926138737000,13433741.572645176000000
51,22033003504,360.000000000000000,4167.663951210000100,51,2655.000000000000000,9977.990912674169500,4324202.339260505500000
52,22033003505,1010.000000000000000,4525.694869130000400,52,1660.000000000000000,12090.112881088742000,7940704.573777852600000
53,22033003506,3740.000000000000000,5445.247694810000200,53,3405.000000000000000,13376.210066119114000,7635703.186486264700000
54,22033003507,1115.000000000000000,4083.652073580000000,54,2940.000000000000000,11927.715599407444000,7153067.613525735200000
55,22033003601,5025.000000000000000,4024.424221459999900,55,1575.000000000000000,10689.286633714670000,5747620.946309407200000
56,22033003603,800.000000000000000,2219.998020810000100,56,1110.000000000000000,5845.846982905322000,2054604.434831376000000
