OBJECTID,AREA,TAZ,POPU,WORK,EMP,Length
208,1022556.34,1334,2238,1227,206,4820.62
209,1789320.04,1335,4703,2282,366,6693.34
210,66898.35,1303B,310,218,444,1453.14
211,532458.07,9112,0,0,809,4023.91
212,783299.35,9123,2739,1605,606,4860.03
213,697156.49,9121,734,427,1939,4286.95
214,532154.6,1131,1847,941,1593,3413.82
215,339766.61,1134,925,690,469,2366.5
216,154685.34,1135,499,251,494,1624.02
217,258051.68,1137,62,29,472,2166.37
218,372199.38,2105,0,0,2465,3204.97
219,1694801.91,1206,4744,2350,599,5256.98
220,1094797.92,1211,3617,1565,260,4267
221,334489.95,1233,1196,465,111,2521.82
222,129435.99,1234,573,177,4,1495.64
223,455184.57,1235,1760,541,202,3113.55
224,1529074.48,2101,187,30,592,5720.16
225,1714700.54,2205,2408,931,1484,5413.32
226,747020.54,2102,0,0,1470,4454.33
227,400900.76,2105A,0,0,367,2853.91
228,258253.92,3102,911,129,66,3064.96
229,1091670.23,2103,519,90,1084,5391.88
230,215211.61,3103A,1159,56,121,2535.78
231,157418.98,3103,498,110,29,3269.91
232,835147.71,3104,1606,527,65,4223.8
233,387446.55,3107,1271,196,351,2594
234,215635.9,3106,601,224,229,2060.24
235,131259.26,3116,574,140,163,1481.86
236,88408.97,3120,334,86,104,1184.7
237,104111.9,3125,483,112,97,1315.07
238,54927.16,3134,337,89,65,1040.48
239,317895.38,4111,1701,437,171,2266.41
240,169111.25,4104,701,162,87,1675.27
241,259043.36,4112,1416,520,103,2032.38
242,188174.05,4116,584,277,83,1780.44
243,628421.89,3105,1974,601,1459,3883.25
244,993442.89,3207,1471,431,1029,4513.6
245,1500519.11,3206,1351,559,155,5308.07
246,495273.27,5124,88,29,977,3885.76
247,712696.05,5214,226,87,224,4306.99
248,1682792.38,5204,912,335,52,5790.53
249,3283703.56,5208,2541,1007,459,7968.34
250,765165.32,5123,1491,612,192,3830.18
251,1327009.17,5315,16,16,556,5541.54
252,2538056.15,5306,39,22,12,6966.82
253,1167990.93,3201,2773,1508,334,8023.46
254,838826.85,3208,4254,2005,277,4227.61
255,466614.06,3209,897,368,329,3068.93
256,1005726.77,3301,151,116,249,5978.77
257,1370990.66,3301A,0,0,4004,5488.54
258,1931950.09,3333,696,451,485,6196.95
259,1227285.13,3315,983,567,2487,4748.64
260,627138.46,3316,978,424,212,3404.61
261,2427981.12,3318,1283,731,233,7861.52
262,488647.98,8102B,0,0,103,6867.83
263,492534.02,8102,38,6,1193,5606.44
264,7026293.86,6312,537,218,6,11236.33
265,1420367.36,6314,108,47,184,4935.11
266,284489.4,9122,0,0,467,4667.96
267,954184.31,9113A,0,0,2842,5492.46
268,511279.82,7102,2169,626,301,3289.76
269,114745.45,9114A,0,0,15,3927.88
270,424860.69,7112,1390,481,152,2780.69
271,241778.11,7111,1118,290,197,2007.09
272,102969.86,7120,0,0,283,1322.35
273,1863714.12,6106A,136,46,747,8820.32
274,760849.16,6106,1677,387,803,9146.3
275,4774357.89,6103,1974,715,2100,8803.73
276,2297878.23,5213,1547,715,847,7589.6
277,1615399.57,6205,1519,817,373,5870.07
278,693569.86,6206A,209,111,221,5122.93
279,3389458.48,6209,1910,1005,109,8851.15
280,1507771.77,6206,30,30,3556,7469.18
281,1376225.84,6208,172,105,78,5153.93
282,453173.24,6207,0,0,321,5635.77
283,2989299.58,6207A,740,0,261,18923.1
284,1760954.38,5201,558,300,190,5560.83
285,1293175.07,5209,2552,1049,405,4934.3
286,5078748.83,6315,1803,964,1551,9141.23
287,1622356.81,6210,1303,619,54,6073.46
288,1173716.03,6317,2635,1344,680,4625.07
289,2248640.31,6316,1417,736,318,7656.45
290,1999435.14,6307,487,320,262,5898.71
291,1047329.41,6322,870,261,55,5002.52
292,1825855,6321,3908,1887,1311,5707.92
293,1493376.64,6325,3566,2080,300,5254.75
294,442076.95,7117,1564,729,74,2667.45
295,724317.67,8206,171,110,953,5163.64
296,534878.62,8207,0,0,577,4140.33
297,484547.16,7203,677,325,103,3669.69
298,1663045.99,7207,4436,2117,718,5333.24
299,375755.89,7209,1308,537,103,2496.78
300,837439.71,7214,2152,986,75,3738.53
301,498614.63,7204,1653,625,131,2949.48
302,629831.62,7210,3266,1238,224,3634.52
303,314045.6,7216,1314,648,157,2295.71
304,223674.47,7215,680,262,30,2070.41
305,459747.4,7212,1585,535,71,2835.47
306,367313.62,7115,1344,615,35,2553.43
307,457951.01,7116,767,402,222,3988.68
308,78023.64,7119,0,0,255,1531.81
309,2590943.97,6204,3859,1842,1065,7784.02
310,1291504.3,6203A,615,318,223,10198.19
311,492297.03,6211,665,284,90,7442.56
312,705692.38,7219,1359,589,122,4426.13
313,513059.73,7220,1433,587,176,3076.08
314,318557.96,7217,1190,594,112,2502.15
315,340829.94,7218,1190,575,12,2751.42
316,211777.78,7307,13,9,95,2867.02
317,402939.03,7201,0,0,503,3256.98
318,405386.28,7201A,249,96,737,3814.96
319,526848.14,7202,635,335,158,4326.83
320,364541.22,7205,1906,693,148,2946.63
321,36258.94,7205A,143,90,7,1119.88
322,599885.6,7206,1933,923,379,3839.84
323,576775.3,7208,2385,1067,316,3221.26
324,1011620.35,6201,1533,781,546,7442
325,2299143.77,6202,2098,835,542,6652.43
326,420231.3,7213,953,395,35,2582.32
327,328391.97,6101,327,89,265,3372.9
328,610235.39,6102,1237,520,128,4043.49
329,1047776.84,7101,987,0,1228,4706.68
330,594810.54,8101,0,0,210,3425.68
331,282749.35,7124,0,0,268,2454.59
332,152252.12,8102A,0,0,224,2473.4
333,593323.11,7114,2315,798,71,3463.16
334,676972.32,7211,2789,1048,252,3397.7
335,525144.74,7113,328,9,28,3020.49
336,296904.12,7125,351,84,676,2350.89
337,213492.21,7118,584,214,95,1982.64
338,1098419.05,6313A,22,11,54,6357.57
339,2593226.06,5212A,38,23,801,8753.77
340,1980199.41,5305,378,174,93,5664.24
341,809115.95,5210,970,500,230,3742.19
342,134208.64,7,0,0,634,1569.1
343,66115.38,5,0,0,7925,1029.43
344,897291.07,6107,1548,189,890,5845.81
345,27896.51,6107A,380,26,54,673.59
346,184852.66,72,0,0,580,1807.22
347,23382.04,26,78,0,583,616.71
348,21864.76,27,0,0,293,594.33
349,24948.14,28,0,0,2395,638.55
350,35620.79,39,0,0,4818,782.45
351,35001.75,25,0,0,1218,769.95
352,163388.12,64,107,64,560,2048.98
353,557319.9,5101A,0,0,585,3147.37
354,52538.56,59,20,0,69,1248.19
355,68920.15,58,0,0,1645,1254.36
356,292644.52,5102,286,211,1424,2277.45
357,22578.64,57,0,0,271,598.07
358,293002.24,5110,222,137,1453,2878.79
359,165666.87,5109,559,302,477,1762.18
360,211598.07,5111,365,325,256,1904.59
361,1666327.99,5117,351,149,1593,6554.69
362,616052.18,4101,2864,933,581,3246.24
363,180994.87,5112,722,347,153,1887.42
364,472113.07,5113,1993,740,233,2802.46
365,975271.94,6104,0,0,182,5128.43
366,102217.16,7103,312,67,193,1242.06
367,201713.49,7104,376,57,201,2049.49
368,221872.68,7123,809,303,18,2005.19
369,240150.85,70A,0,0,442,2507.79
370,657109.61,1,0,0,1197,3893.23
371,190903.32,33,56,3,221,1838.55
372,233699,37,324,99,615,2451.75
373,40554.14,38,0,0,2327,1089.63
374,64224.21,34,89,25,104,1064.57
